"COUNTY","SHORTPOSTCODE","TOWN","DISTRICT","YEAR","AVGPRICE"
"SOUTH YORKSHIRE","","SHEFFIELD","SHEFFIELD",2022,334611.111111111
"SOUTH YORKSHIRE","","WORKSOP","ROTHERHAM",2021,72000
"SOUTH YORKSHIRE","","WORKSOP","ROTHERHAM",2022,42500
"SOUTH YORKSHIRE","DE11","SWADLINCOTE","SHEFFIELD",2021,99000
"SOUTH YORKSHIRE","DN1","DONCASTER","DONCASTER",2019,180651.833333333
"SOUTH YORKSHIRE","DN1","DONCASTER","DONCASTER",2020,149119.082758621
"SOUTH YORKSHIRE","DN1","DONCASTER","DONCASTER",2021,212119.753424658
"SOUTH YORKSHIRE","DN1","DONCASTER","DONCASTER",2022,176727.538071066
"SOUTH YORKSHIRE","DN10","DONCASTER","DONCASTER",2019,233658.782608696
"SOUTH YORKSHIRE","DN10","DONCASTER","DONCASTER",2020,282120.593023256
"SOUTH YORKSHIRE","DN10","DONCASTER","DONCASTER",2021,241158.058823529
"SOUTH YORKSHIRE","DN10","DONCASTER","DONCASTER",2022,331224.626865672
"SOUTH YORKSHIRE","DN11","DONCASTER","DONCASTER",2019,178145.254189944
"SOUTH YORKSHIRE","DN11","DONCASTER","DONCASTER",2020,194167.116071429
"SOUTH YORKSHIRE","DN11","DONCASTER","DONCASTER",2021,207553.825708061
"SOUTH YORKSHIRE","DN11","DONCASTER","DONCASTER",2022,220137.859649123
"SOUTH YORKSHIRE","DN11","DONCASTER","ROTHERHAM",2019,240000
"SOUTH YORKSHIRE","DN11","DONCASTER","ROTHERHAM",2020,269995
"SOUTH YORKSHIRE","DN12","DONCASTER","DONCASTER",2019,125983.609022556
"SOUTH YORKSHIRE","DN12","DONCASTER","DONCASTER",2020,135410.853211009
"SOUTH YORKSHIRE","DN12","DONCASTER","DONCASTER",2021,130320.537525355
"SOUTH YORKSHIRE","DN12","DONCASTER","DONCASTER",2022,131420.579952267
"SOUTH YORKSHIRE","DN12","DONCASTER","ROTHERHAM",2020,327500
"SOUTH YORKSHIRE","DN12","DONCASTER","ROTHERHAM",2022,5e+05
"SOUTH YORKSHIRE","DN12","DONCASTER","SHEFFIELD",2020,110000
"SOUTH YORKSHIRE","DN14","GOOLE","DONCASTER",2019,301357.142857143
"SOUTH YORKSHIRE","DN14","GOOLE","DONCASTER",2020,374500
"SOUTH YORKSHIRE","DN14","GOOLE","DONCASTER",2021,359200
"SOUTH YORKSHIRE","DN14","GOOLE","DONCASTER",2022,441333.333333333
"SOUTH YORKSHIRE","DN2","DONCASTER","DONCASTER",2019,164583.31420765
"SOUTH YORKSHIRE","DN2","DONCASTER","DONCASTER",2020,151128.894894895
"SOUTH YORKSHIRE","DN2","DONCASTER","DONCASTER",2021,182895.05973025
"SOUTH YORKSHIRE","DN2","DONCASTER","DONCASTER",2022,173528.90726817
"SOUTH YORKSHIRE","DN2","DONCASTER","ROTHERHAM",2021,194000
"SOUTH YORKSHIRE","DN3","DONCASTER","DONCASTER",2019,159667.501666667
"SOUTH YORKSHIRE","DN3","DONCASTER","DONCASTER",2020,174656.125541126
"SOUTH YORKSHIRE","DN3","DONCASTER","DONCASTER",2021,232296.807692308
"SOUTH YORKSHIRE","DN3","DONCASTER","DONCASTER",2022,203093.225108225
"SOUTH YORKSHIRE","DN4","DONCASTER","DONCASTER",2019,169573.306436119
"SOUTH YORKSHIRE","DN4","DONCASTER","DONCASTER",2020,198488.833150384
"SOUTH YORKSHIRE","DN4","DONCASTER","DONCASTER",2021,182459.234290147
"SOUTH YORKSHIRE","DN4","DONCASTER","DONCASTER",2022,186194.838208409
"SOUTH YORKSHIRE","DN5","DONCASTER","BARNSLEY",2019,296666.666666667
"SOUTH YORKSHIRE","DN5","DONCASTER","BARNSLEY",2020,123000
"SOUTH YORKSHIRE","DN5","DONCASTER","BARNSLEY",2021,118000
"SOUTH YORKSHIRE","DN5","DONCASTER","BARNSLEY",2022,148333.333333333
"SOUTH YORKSHIRE","DN5","DONCASTER","DONCASTER",2019,153324.78369906
"SOUTH YORKSHIRE","DN5","DONCASTER","DONCASTER",2020,175115.398119122
"SOUTH YORKSHIRE","DN5","DONCASTER","DONCASTER",2021,175751.016927083
"SOUTH YORKSHIRE","DN5","DONCASTER","DONCASTER",2022,175043.712746858
"SOUTH YORKSHIRE","DN5","DONCASTER","SHEFFIELD",2021,385000
"SOUTH YORKSHIRE","DN6","DONCASTER","DONCASTER",2019,161054.097345133
"SOUTH YORKSHIRE","DN6","DONCASTER","DONCASTER",2020,147566.06772009
"SOUTH YORKSHIRE","DN6","DONCASTER","DONCASTER",2021,310238.371019108
"SOUTH YORKSHIRE","DN6","DONCASTER","DONCASTER",2022,169910.966887417
"SOUTH YORKSHIRE","DN6","DONCASTER","SHEFFIELD",2021,39298
"SOUTH YORKSHIRE","DN7","DONCASTER","DONCASTER",2019,140841.588235294
"SOUTH YORKSHIRE","DN7","DONCASTER","DONCASTER",2020,168864.638176638
"SOUTH YORKSHIRE","DN7","DONCASTER","DONCASTER",2021,186209.787018256
"SOUTH YORKSHIRE","DN7","DONCASTER","DONCASTER",2022,171273.947236181
"SOUTH YORKSHIRE","DN8","DONCASTER","DONCASTER",2019,144825.565340909
"SOUTH YORKSHIRE","DN8","DONCASTER","DONCASTER",2020,137959.811447811
"SOUTH YORKSHIRE","DN8","DONCASTER","DONCASTER",2021,144147.518867925
"SOUTH YORKSHIRE","DN8","DONCASTER","DONCASTER",2022,168080.048951049
"SOUTH YORKSHIRE","DN9","DONCASTER","DONCASTER",2019,242336.416666667
"SOUTH YORKSHIRE","DN9","DONCASTER","DONCASTER",2020,222837.396551724
"SOUTH YORKSHIRE","DN9","DONCASTER","DONCASTER",2021,271286.882978723
"SOUTH YORKSHIRE","DN9","DONCASTER","DONCASTER",2022,264055.575757576
"SOUTH YORKSHIRE","HD8","HUDDERSFIELD","BARNSLEY",2020,910000
"SOUTH YORKSHIRE","HD9","HOLMFIRTH","BARNSLEY",2019,217500
"SOUTH YORKSHIRE","HD9","HOLMFIRTH","BARNSLEY",2020,545000
"SOUTH YORKSHIRE","HD9","HOLMFIRTH","BARNSLEY",2022,652500
"SOUTH YORKSHIRE","IP18","SOUTHWOLD","SHEFFIELD",2022,1305000
"SOUTH YORKSHIRE","S1","SHEFFIELD","SHEFFIELD",2019,572680.751072961
"SOUTH YORKSHIRE","S1","SHEFFIELD","SHEFFIELD",2020,386845.266129032
"SOUTH YORKSHIRE","S1","SHEFFIELD","SHEFFIELD",2021,2830048.90079365
"SOUTH YORKSHIRE","S1","SHEFFIELD","SHEFFIELD",2022,377584.985507246
"SOUTH YORKSHIRE","S10","SHEFFIELD","SHEFFIELD",2019,304442.727785614
"SOUTH YORKSHIRE","S10","SHEFFIELD","SHEFFIELD",2020,329044.908646003
"SOUTH YORKSHIRE","S10","SHEFFIELD","SHEFFIELD",2021,379457.59741784
"SOUTH YORKSHIRE","S10","SHEFFIELD","SHEFFIELD",2022,379824.259493671
"SOUTH YORKSHIRE","S11","SHEFFIELD","SHEFFIELD",2019,367768.078559738
"SOUTH YORKSHIRE","S11","SHEFFIELD","SHEFFIELD",2020,330369.591549296
"SOUTH YORKSHIRE","S11","SHEFFIELD","SHEFFIELD",2021,408285.305379747
"SOUTH YORKSHIRE","S11","SHEFFIELD","SHEFFIELD",2022,419079.663967611
"SOUTH YORKSHIRE","S12","SHEFFIELD","SHEFFIELD",2019,141714.22334004
"SOUTH YORKSHIRE","S12","SHEFFIELD","SHEFFIELD",2020,155652.471365639
"SOUTH YORKSHIRE","S12","SHEFFIELD","SHEFFIELD",2021,172744.30704698
"SOUTH YORKSHIRE","S12","SHEFFIELD","SHEFFIELD",2022,178444.387308534
"SOUTH YORKSHIRE","S13","SHEFFIELD","ROTHERHAM",2019,178846.153846154
"SOUTH YORKSHIRE","S13","SHEFFIELD","ROTHERHAM",2020,169635
"SOUTH YORKSHIRE","S13","SHEFFIELD","ROTHERHAM",2021,180166.5
"SOUTH YORKSHIRE","S13","SHEFFIELD","ROTHERHAM",2022,223333.333333333
"SOUTH YORKSHIRE","S13","SHEFFIELD","SHEFFIELD",2019,143057.71484375
"SOUTH YORKSHIRE","S13","SHEFFIELD","SHEFFIELD",2020,142321.233502538
"SOUTH YORKSHIRE","S13","SHEFFIELD","SHEFFIELD",2021,165837.969818913
"SOUTH YORKSHIRE","S13","SHEFFIELD","SHEFFIELD",2022,173566.598984772
"SOUTH YORKSHIRE","S14","SHEFFIELD","SHEFFIELD",2019,89544.5205479452
"SOUTH YORKSHIRE","S14","SHEFFIELD","SHEFFIELD",2020,102139.726027397
"SOUTH YORKSHIRE","S14","SHEFFIELD","SHEFFIELD",2021,99042.4050632911
"SOUTH YORKSHIRE","S14","SHEFFIELD","SHEFFIELD",2022,115548.488372093
"SOUTH YORKSHIRE","S17","SHEFFIELD","SHEFFIELD",2019,389242.290849673
"SOUTH YORKSHIRE","S17","SHEFFIELD","SHEFFIELD",2020,377793.788
"SOUTH YORKSHIRE","S17","SHEFFIELD","SHEFFIELD",2021,439280.582352941
"SOUTH YORKSHIRE","S17","SHEFFIELD","SHEFFIELD",2022,474053.558333333
"SOUTH YORKSHIRE","S2","SHEFFIELD","DONCASTER",2019,132495
"SOUTH YORKSHIRE","S2","SHEFFIELD","DONCASTER",2021,179995
"SOUTH YORKSHIRE","S2","SHEFFIELD","SHEFFIELD",2019,130140.293055556
"SOUTH YORKSHIRE","S2","SHEFFIELD","SHEFFIELD",2020,317892.802788845
"SOUTH YORKSHIRE","S2","SHEFFIELD","SHEFFIELD",2021,161030.695075758
"SOUTH YORKSHIRE","S2","SHEFFIELD","SHEFFIELD",2022,165772.84
"SOUTH YORKSHIRE","S20","ROTHERHAM","ROTHERHAM",2019,26400
"SOUTH YORKSHIRE","S20","SHEFFIELD","BARNSLEY",2020,548500
"SOUTH YORKSHIRE","S20","SHEFFIELD","ROTHERHAM",2019,258300
"SOUTH YORKSHIRE","S20","SHEFFIELD","ROTHERHAM",2020,1670000
"SOUTH YORKSHIRE","S20","SHEFFIELD","ROTHERHAM",2021,2e+05
"SOUTH YORKSHIRE","S20","SHEFFIELD","SHEFFIELD",2019,190023.288624788
"SOUTH YORKSHIRE","S20","SHEFFIELD","SHEFFIELD",2020,195121.69650655
"SOUTH YORKSHIRE","S20","SHEFFIELD","SHEFFIELD",2021,214605.540540541
"SOUTH YORKSHIRE","S20","SHEFFIELD","SHEFFIELD",2022,217928.810810811
"SOUTH YORKSHIRE","S25","SHEFFIELD","ROTHERHAM",2019,166653.336609337
"SOUTH YORKSHIRE","S25","SHEFFIELD","ROTHERHAM",2020,214275.164021164
"SOUTH YORKSHIRE","S25","SHEFFIELD","ROTHERHAM",2021,184961.34
"SOUTH YORKSHIRE","S25","SHEFFIELD","ROTHERHAM",2022,227869.223796034
"SOUTH YORKSHIRE","S26","SHEFFIELD","ROTHERHAM",2019,197166.367149758
"SOUTH YORKSHIRE","S26","SHEFFIELD","ROTHERHAM",2020,204736.364896074
"SOUTH YORKSHIRE","S26","SHEFFIELD","ROTHERHAM",2021,227580.4
"SOUTH YORKSHIRE","S26","SHEFFIELD","ROTHERHAM",2022,229693.428571429
"SOUTH YORKSHIRE","S26","SHEFFIELD","SHEFFIELD",2019,115000
"SOUTH YORKSHIRE","S26","SHEFFIELD","SHEFFIELD",2021,156666.666666667
"SOUTH YORKSHIRE","S26","SHEFFIELD","SHEFFIELD",2022,136000
"SOUTH YORKSHIRE","S3","SHEFFIELD","SHEFFIELD",2019,209341.505016722
"SOUTH YORKSHIRE","S3","SHEFFIELD","SHEFFIELD",2020,128866.500994036
"SOUTH YORKSHIRE","S3","SHEFFIELD","SHEFFIELD",2021,283214.325513196
"SOUTH YORKSHIRE","S3","SHEFFIELD","SHEFFIELD",2022,178272.830409357
"SOUTH YORKSHIRE","S35","SHEFFIELD","BARNSLEY",2019,290741.117647059
"SOUTH YORKSHIRE","S35","SHEFFIELD","BARNSLEY",2020,383275.694444444
"SOUTH YORKSHIRE","S35","SHEFFIELD","BARNSLEY",2021,348643.333333333
"SOUTH YORKSHIRE","S35","SHEFFIELD","BARNSLEY",2022,362336.097560976
"SOUTH YORKSHIRE","S35","SHEFFIELD","ROTHERHAM",2020,435000
"SOUTH YORKSHIRE","S35","SHEFFIELD","ROTHERHAM",2021,309000
"SOUTH YORKSHIRE","S35","SHEFFIELD","ROTHERHAM",2022,331000
"SOUTH YORKSHIRE","S35","SHEFFIELD","SHEFFIELD",2019,211106.838709677
"SOUTH YORKSHIRE","S35","SHEFFIELD","SHEFFIELD",2020,258112.144486692
"SOUTH YORKSHIRE","S35","SHEFFIELD","SHEFFIELD",2021,238226.208034433
"SOUTH YORKSHIRE","S35","SHEFFIELD","SHEFFIELD",2022,227639.326642336
"SOUTH YORKSHIRE","S36","BARNSLEY","BARNSLEY",2019,75000
"SOUTH YORKSHIRE","S36","BARNSLEY","BARNSLEY",2020,185000
"SOUTH YORKSHIRE","S36","SHEFFIELD","BARNSLEY",2019,229639.130268199
"SOUTH YORKSHIRE","S36","SHEFFIELD","BARNSLEY",2020,239578.045454545
"SOUTH YORKSHIRE","S36","SHEFFIELD","BARNSLEY",2021,281111.700729927
"SOUTH YORKSHIRE","S36","SHEFFIELD","BARNSLEY",2022,290844.489361702
"SOUTH YORKSHIRE","S36","SHEFFIELD","SHEFFIELD",2019,161054.487364621
"SOUTH YORKSHIRE","S36","SHEFFIELD","SHEFFIELD",2020,170797.114285714
"SOUTH YORKSHIRE","S36","SHEFFIELD","SHEFFIELD",2021,199840.906367041
"SOUTH YORKSHIRE","S36","SHEFFIELD","SHEFFIELD",2022,200398.818518519
"SOUTH YORKSHIRE","S4","SHEFFIELD","SHEFFIELD",2019,248464.419047619
"SOUTH YORKSHIRE","S4","SHEFFIELD","SHEFFIELD",2020,115388.140350877
"SOUTH YORKSHIRE","S4","SHEFFIELD","SHEFFIELD",2021,131185.563380282
"SOUTH YORKSHIRE","S4","SHEFFIELD","SHEFFIELD",2022,133064.056737589
"SOUTH YORKSHIRE","S5","SHEFFIELD","DONCASTER",2021,90000
"SOUTH YORKSHIRE","S5","SHEFFIELD","SHEFFIELD",2019,107972.379527559
"SOUTH YORKSHIRE","S5","SHEFFIELD","SHEFFIELD",2020,116830.763209393
"SOUTH YORKSHIRE","S5","SHEFFIELD","SHEFFIELD",2021,135066.174698795
"SOUTH YORKSHIRE","S5","SHEFFIELD","SHEFFIELD",2022,137947.148351648
"SOUTH YORKSHIRE","S6","SHEFFIELD","ROTHERHAM",2019,160000
"SOUTH YORKSHIRE","S6","SHEFFIELD","ROTHERHAM",2020,160000
"SOUTH YORKSHIRE","S6","SHEFFIELD","SHEFFIELD",2019,259674.726306466
"SOUTH YORKSHIRE","S6","SHEFFIELD","SHEFFIELD",2020,198839.452905812
"SOUTH YORKSHIRE","S6","SHEFFIELD","SHEFFIELD",2021,231904.835119538
"SOUTH YORKSHIRE","S6","SHEFFIELD","SHEFFIELD",2022,272346.447309417
"SOUTH YORKSHIRE","S60","ROTHERHAM","ROTHERHAM",2019,244071.680851064
"SOUTH YORKSHIRE","S60","ROTHERHAM","ROTHERHAM",2020,198402.788990826
"SOUTH YORKSHIRE","S60","ROTHERHAM","ROTHERHAM",2021,220763.711740042
"SOUTH YORKSHIRE","S60","ROTHERHAM","ROTHERHAM",2022,252093.267806268
"SOUTH YORKSHIRE","S61","ROTHERHAM","ROTHERHAM",2019,151294.066371681
"SOUTH YORKSHIRE","S61","ROTHERHAM","ROTHERHAM",2020,137368.415313225
"SOUTH YORKSHIRE","S61","ROTHERHAM","ROTHERHAM",2021,151227.758278146
"SOUTH YORKSHIRE","S61","ROTHERHAM","ROTHERHAM",2022,157346.94813278
"SOUTH YORKSHIRE","S61","ROTHERHAM","SHEFFIELD",2019,145000
"SOUTH YORKSHIRE","S61","ROTHERHAM","SHEFFIELD",2020,67333.3333333333
"SOUTH YORKSHIRE","S61","ROTHERHAM","SHEFFIELD",2021,195000
"SOUTH YORKSHIRE","S61","ROTHERHAM","SHEFFIELD",2022,95000
"SOUTH YORKSHIRE","S62","ROTHERHAM","ROTHERHAM",2019,132932.38372093
"SOUTH YORKSHIRE","S62","ROTHERHAM","ROTHERHAM",2020,122783.352226721
"SOUTH YORKSHIRE","S62","ROTHERHAM","ROTHERHAM",2021,133031.384364821
"SOUTH YORKSHIRE","S62","ROTHERHAM","ROTHERHAM",2022,138657.062962963
"SOUTH YORKSHIRE","S63","BARNSLEY","BARNSLEY",2019,144661.666666667
"SOUTH YORKSHIRE","S63","BARNSLEY","BARNSLEY",2020,107750
"SOUTH YORKSHIRE","S63","BARNSLEY","BARNSLEY",2022,148333.333333333
"SOUTH YORKSHIRE","S63","ROTHERHAM","BARNSLEY",2019,110856.219399538
"SOUTH YORKSHIRE","S63","ROTHERHAM","BARNSLEY",2020,134108.949109415
"SOUTH YORKSHIRE","S63","ROTHERHAM","BARNSLEY",2021,131148.811460259
"SOUTH YORKSHIRE","S63","ROTHERHAM","BARNSLEY",2022,124838.188160677
"SOUTH YORKSHIRE","S63","ROTHERHAM","ROTHERHAM",2019,169231.260714286
"SOUTH YORKSHIRE","S63","ROTHERHAM","ROTHERHAM",2020,142293.955752212
"SOUTH YORKSHIRE","S63","ROTHERHAM","ROTHERHAM",2021,179912.657289003
"SOUTH YORKSHIRE","S63","ROTHERHAM","ROTHERHAM",2022,179425.463035019
"SOUTH YORKSHIRE","S63","ROTHERHAM","SHEFFIELD",2019,170000
"SOUTH YORKSHIRE","S64","DONCASTER","DONCASTER",2019,142375
"SOUTH YORKSHIRE","S64","DONCASTER","DONCASTER",2020,137500
"SOUTH YORKSHIRE","S64","DONCASTER","DONCASTER",2021,118000
"SOUTH YORKSHIRE","S64","DONCASTER","DONCASTER",2022,168500
"SOUTH YORKSHIRE","S64","MEXBOROUGH","DONCASTER",2019,111460.597972973
"SOUTH YORKSHIRE","S64","MEXBOROUGH","DONCASTER",2020,109352.149837134
"SOUTH YORKSHIRE","S64","MEXBOROUGH","DONCASTER",2021,115100.802631579
"SOUTH YORKSHIRE","S64","MEXBOROUGH","DONCASTER",2022,118090.996763754
"SOUTH YORKSHIRE","S64","MEXBOROUGH","ROTHERHAM",2019,135213.522648084
"SOUTH YORKSHIRE","S64","MEXBOROUGH","ROTHERHAM",2020,141133.281632653
"SOUTH YORKSHIRE","S64","MEXBOROUGH","ROTHERHAM",2021,186827.941368078
"SOUTH YORKSHIRE","S64","MEXBOROUGH","ROTHERHAM",2022,173924.240566038
"SOUTH YORKSHIRE","S64","ROTHERHAM","ROTHERHAM",2021,166995
"SOUTH YORKSHIRE","S64","ROTHERHAM","ROTHERHAM",2022,176995
"SOUTH YORKSHIRE","S65","ROTHERHAM","DONCASTER",2021,185000
"SOUTH YORKSHIRE","S65","ROTHERHAM","DONCASTER",2022,175995
"SOUTH YORKSHIRE","S65","ROTHERHAM","ROTHERHAM",2019,136817.954436451
"SOUTH YORKSHIRE","S65","ROTHERHAM","ROTHERHAM",2020,145482.375675676
"SOUTH YORKSHIRE","S65","ROTHERHAM","ROTHERHAM",2021,159588.358717435
"SOUTH YORKSHIRE","S65","ROTHERHAM","ROTHERHAM",2022,157417.136708861
"SOUTH YORKSHIRE","S66","ROTHERHAM","DONCASTER",2019,263812.5
"SOUTH YORKSHIRE","S66","ROTHERHAM","DONCASTER",2020,245704.545454545
"SOUTH YORKSHIRE","S66","ROTHERHAM","DONCASTER",2021,326245.744680851
"SOUTH YORKSHIRE","S66","ROTHERHAM","DONCASTER",2022,341136.363636364
"SOUTH YORKSHIRE","S66","ROTHERHAM","ROTHERHAM",2019,167533.66045273
"SOUTH YORKSHIRE","S66","ROTHERHAM","ROTHERHAM",2020,176140.073667712
"SOUTH YORKSHIRE","S66","ROTHERHAM","ROTHERHAM",2021,193167.147321429
"SOUTH YORKSHIRE","S66","ROTHERHAM","ROTHERHAM",2022,189702.188445667
"SOUTH YORKSHIRE","S66","ROTHERHAM","SHEFFIELD",2021,3000
"SOUTH YORKSHIRE","S7","SHEFFIELD","SHEFFIELD",2019,316915.255737705
"SOUTH YORKSHIRE","S7","SHEFFIELD","SHEFFIELD",2020,315523.004166667
"SOUTH YORKSHIRE","S7","SHEFFIELD","SHEFFIELD",2021,328286.462287105
"SOUTH YORKSHIRE","S7","SHEFFIELD","SHEFFIELD",2022,355946.153543307
"SOUTH YORKSHIRE","S70","BARNSLEY","BARNSLEY",2019,122512.335152838
"SOUTH YORKSHIRE","S70","BARNSLEY","BARNSLEY",2020,129238.436220472
"SOUTH YORKSHIRE","S70","BARNSLEY","BARNSLEY",2021,144110.434993925
"SOUTH YORKSHIRE","S70","BARNSLEY","BARNSLEY",2022,150143.978693182
"SOUTH YORKSHIRE","S71","BARNSLEY","BARNSLEY",2019,135219.488833747
"SOUTH YORKSHIRE","S71","BARNSLEY","BARNSLEY",2020,150320.423076923
"SOUTH YORKSHIRE","S71","BARNSLEY","BARNSLEY",2021,156668.271856287
"SOUTH YORKSHIRE","S71","BARNSLEY","BARNSLEY",2022,162185.29973822
"SOUTH YORKSHIRE","S72","BARNSLEY","BARNSLEY",2019,150708.822134387
"SOUTH YORKSHIRE","S72","BARNSLEY","BARNSLEY",2020,158055.624657534
"SOUTH YORKSHIRE","S72","BARNSLEY","BARNSLEY",2021,161452.476449275
"SOUTH YORKSHIRE","S72","BARNSLEY","BARNSLEY",2022,152420.66367713
"SOUTH YORKSHIRE","S72","BARNSLEY","DONCASTER",2021,810000
"SOUTH YORKSHIRE","S73","BARNSLEY","BARNSLEY",2019,130478.203703704
"SOUTH YORKSHIRE","S73","BARNSLEY","BARNSLEY",2020,135450.330254042
"SOUTH YORKSHIRE","S73","BARNSLEY","BARNSLEY",2021,155706.831404959
"SOUTH YORKSHIRE","S73","BARNSLEY","BARNSLEY",2022,152993.186956522
"SOUTH YORKSHIRE","S73","BARNSLEY","ROTHERHAM",2019,100777.777777778
"SOUTH YORKSHIRE","S73","BARNSLEY","ROTHERHAM",2020,102925
"SOUTH YORKSHIRE","S73","BARNSLEY","ROTHERHAM",2021,337277.777777778
"SOUTH YORKSHIRE","S73","BARNSLEY","ROTHERHAM",2022,637538.461538462
"SOUTH YORKSHIRE","S74","BARNSLEY","BARNSLEY",2019,146940.29109589
"SOUTH YORKSHIRE","S74","BARNSLEY","BARNSLEY",2020,189890.947136564
"SOUTH YORKSHIRE","S74","BARNSLEY","BARNSLEY",2021,182871.656346749
"SOUTH YORKSHIRE","S74","BARNSLEY","BARNSLEY",2022,181235.409836066
"SOUTH YORKSHIRE","S74","BARNSLEY","ROTHERHAM",2022,320000
"SOUTH YORKSHIRE","S74","BARNSLEY","SHEFFIELD",2021,140000
"SOUTH YORKSHIRE","S74","BARNSLEY","SHEFFIELD",2022,317500
"SOUTH YORKSHIRE","S75","BARNSLEY","BARNSLEY",2019,199768.064386318
"SOUTH YORKSHIRE","S75","BARNSLEY","BARNSLEY",2020,193219.184782609
"SOUTH YORKSHIRE","S75","BARNSLEY","BARNSLEY",2021,238074.368200837
"SOUTH YORKSHIRE","S75","BARNSLEY","BARNSLEY",2022,229381.322192513
"SOUTH YORKSHIRE","S8","SHEFFIELD","SHEFFIELD",2019,203214.699157641
"SOUTH YORKSHIRE","S8","SHEFFIELD","SHEFFIELD",2020,208066.210084034
"SOUTH YORKSHIRE","S8","SHEFFIELD","SHEFFIELD",2021,228557.251190476
"SOUTH YORKSHIRE","S8","SHEFFIELD","SHEFFIELD",2022,266856.726027397
"SOUTH YORKSHIRE","S80","WORKSOP","ROTHERHAM",2019,291666.666666667
"SOUTH YORKSHIRE","S80","WORKSOP","ROTHERHAM",2020,412500
"SOUTH YORKSHIRE","S80","WORKSOP","ROTHERHAM",2021,506318.181818182
"SOUTH YORKSHIRE","S80","WORKSOP","ROTHERHAM",2022,603750
"SOUTH YORKSHIRE","S81","WORKSOP","ROTHERHAM",2019,354973.837837838
"SOUTH YORKSHIRE","S81","WORKSOP","ROTHERHAM",2020,259673.076923077
"SOUTH YORKSHIRE","S81","WORKSOP","ROTHERHAM",2021,316929.545454545
"SOUTH YORKSHIRE","S81","WORKSOP","ROTHERHAM",2022,345155.925925926
"SOUTH YORKSHIRE","S9","SHEFFIELD","SHEFFIELD",2019,246457.831360947
"SOUTH YORKSHIRE","S9","SHEFFIELD","SHEFFIELD",2020,191949.428571429
"SOUTH YORKSHIRE","S9","SHEFFIELD","SHEFFIELD",2021,361953.856716418
"SOUTH YORKSHIRE","S9","SHEFFIELD","SHEFFIELD",2022,244270.040133779
"SOUTH YORKSHIRE","SU65","ROTHERHAM","ROTHERHAM",2020,80000
"SOUTH YORKSHIRE","SU65","ROTHERHAM","ROTHERHAM",2021,80000
"SOUTH YORKSHIRE","WF8","PONTEFRACT","DONCASTER",2021,365000
"WEST YORKSHIRE","","BATLEY","KIRKLEES",2019,1100620.5
"WEST YORKSHIRE","","BATLEY","KIRKLEES",2020,1330000
"WEST YORKSHIRE","","BATLEY","KIRKLEES",2021,81500
"WEST YORKSHIRE","","BATLEY","KIRKLEES",2022,957434
"WEST YORKSHIRE","","BINGLEY","BRADFORD",2019,171166.666666667
"WEST YORKSHIRE","","BINGLEY","BRADFORD",2022,385000
"WEST YORKSHIRE","","BRADFORD","BRADFORD",2019,1666055
"WEST YORKSHIRE","","BRADFORD","BRADFORD",2020,4070687.5
"WEST YORKSHIRE","","BRADFORD","BRADFORD",2021,1663122.33333333
"WEST YORKSHIRE","","BRADFORD","BRADFORD",2022,439400
"WEST YORKSHIRE","","BRIGHOUSE","CALDERDALE",2019,89500
"WEST YORKSHIRE","","BRIGHOUSE","CALDERDALE",2020,60000
"WEST YORKSHIRE","","CASTLEFORD","WAKEFIELD",2020,3154000
"WEST YORKSHIRE","","CASTLEFORD","WAKEFIELD",2022,152500
"WEST YORKSHIRE","","CLECKHEATON","KIRKLEES",2019,402000
"WEST YORKSHIRE","","CLECKHEATON","KIRKLEES",2020,43175
"WEST YORKSHIRE","","CLECKHEATON","KIRKLEES",2021,271345.25
"WEST YORKSHIRE","","CLECKHEATON","KIRKLEES",2022,238000
"WEST YORKSHIRE","","DEWSBURY","KIRKLEES",2019,350000
"WEST YORKSHIRE","","DEWSBURY","KIRKLEES",2021,1536000
"WEST YORKSHIRE","","ELLAND","CALDERDALE",2019,9500
"WEST YORKSHIRE","","HALIFAX","CALDERDALE",2020,138166.666666667
"WEST YORKSHIRE","","HALIFAX","CALDERDALE",2021,212166.666666667
"WEST YORKSHIRE","","HALIFAX","CALDERDALE",2022,331667
"WEST YORKSHIRE","","HEBDEN BRIDGE","CALDERDALE",2021,240000
"WEST YORKSHIRE","","HEBDEN BRIDGE","CALDERDALE",2022,176000
"WEST YORKSHIRE","","HOLMFIRTH","KIRKLEES",2019,397500
"WEST YORKSHIRE","","HOLMFIRTH","KIRKLEES",2020,15000
"WEST YORKSHIRE","","HOLMFIRTH","KIRKLEES",2021,215000
"WEST YORKSHIRE","","HUDDERSFIELD","CALDERDALE",2019,30000
"WEST YORKSHIRE","","HUDDERSFIELD","KIRKLEES",2019,68875
"WEST YORKSHIRE","","HUDDERSFIELD","KIRKLEES",2020,223198.333333333
"WEST YORKSHIRE","","HUDDERSFIELD","KIRKLEES",2021,207500
"WEST YORKSHIRE","","HUDDERSFIELD","KIRKLEES",2022,1209998
"WEST YORKSHIRE","","ILKLEY","BRADFORD",2019,171499.5
"WEST YORKSHIRE","","ILKLEY","BRADFORD",2020,7375
"WEST YORKSHIRE","","ILKLEY","BRADFORD",2021,91000
"WEST YORKSHIRE","","ILKLEY","BRADFORD",2022,10000
"WEST YORKSHIRE","","KEIGHLEY","BRADFORD",2019,282000
"WEST YORKSHIRE","","KEIGHLEY","BRADFORD",2020,114250
